Date,Victory,Player,Match,Game-Win,Opponen<@881970825111154718>,Game-Lose
04/11/2023-140000,1,<@881970825111154718>,1,2,<@225045824923500546>,0
04/11/2023-140000,1,<@881970825111154718>,1,2,<@566387736609685514>,0
04/11/2023-140000,1,<@881970825111154718>,1,2,<@723638398312513586>,0
04/11/2023-140000,1,<@689986226929139764>,1,2,<@225045824923500546>,1
04/11/2023-140000,1,<@689986226929139764>,0,0,<@566387736609685514>,2
04/11/2023-140000,1,<@689986226929139764>,1,2,<@723638398312513586>,0
04/11/2023-140000,1,<@690644525177110561>,1,2,<@225045824923500546>,1
04/11/2023-140000,1,<@690644525177110561>,0,0,<@566387736609685514>,2
04/11/2023-140000,1,<@690644525177110561>,0,1,<@723638398312513586>,2
04/11/2023-140000,0,<@225045824923500546>,0,1,<@690644525177110561>,2
04/11/2023-140000,0,<@225045824923500546>,0,1,<@689986226929139764>,2
04/11/2023-140000,0,<@225045824923500546>,0,0,<@881970825111154718>,2
04/11/2023-140000,0,<@566387736609685514>,1,2,<@690644525177110561>,0
04/11/2023-140000,0,<@566387736609685514>,1,2,<@689986226929139764>,0
04/11/2023-140000,0,<@566387736609685514>,0,0,<@881970825111154718>,2
04/11/2023-140000,0,<@723638398312513586>,1,2,<@690644525177110561>,1
04/11/2023-140000,0,<@723638398312513586>,0,0,<@689986226929139764>,2
04/11/2023-140000,0,<@723638398312513586>,0,0,<@881970825111154718>,2
